periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
202310,2023,10,AL,Nordeste,Mata Atlântica,Maceió,60.9,5,28.17096774193548,23.25483870967742,31,53.16363636363636,14.55,normal
202311,2023,11,AL,Nordeste,Mata Atlântica,Maceió,32.2,2,29.47666666666667,24.07333333333333,30,54.25454545454545,-40.65,seca_moderada
202312,2023,12,AL,Nordeste,Mata Atlântica,Maceió,75.5,1,29.11935483870968,24.27741935483871,31,57.2,31.99,normal
202401,2024,1,AL,Nordeste,Mata Atlântica,Maceió,39.0,2,30.91935483870968,24.758064516129032,31,67.04166666666667,-41.83,seca_moderada
202402,2024,2,AL,Nordeste,Mata Atlântica,Maceió,71.4,0,29.76206896551724,25.189655172413797,29,66.83333333333333,6.83,normal
202403,2024,3,AL,Nordeste,Mata Atlântica,Maceió,126.4,0,30.40322580645161,25.38064516129032,31,122.56666666666666,3.13,normal
202404,2024,4,AL,Nordeste,Mata Atlântica,Maceió,113.7,1,29.01333333333333,24.726666666666667,30,110.84166666666665,2.58,normal
202405,2024,5,AL,Nordeste,Mata Atlântica,Maceió,271.2,1,28.029032258064515,24.187096774193545,31,211.17499999999998,28.42,normal
202406,2024,6,AL,Nordeste,Mata Atlântica,Maceió,194.3,1,26.74,23.12,30,185.45000000000002,4.77,normal
202407,2024,7,AL,Nordeste,Mata Atlântica,Maceió,168.6,1,26.37741935483871,22.616129032258065,31,157.39090909090908,7.12,normal
202408,2024,8,AL,Nordeste,Mata Atlântica,Maceió,75.5,3,26.62258064516129,22.361290322580647,31,123.98181818181818,-39.1,seca_moderada
202409,2024,9,AL,Nordeste,Mata Atlântica,Maceió,73.0,4,26.796666666666667,22.64333333333333,30,79.89090909090909,-8.63,normal
202410,2024,10,AL,Nordeste,Mata Atlântica,Maceió,33.4,5,28.567741935483877,23.074193548387097,31,53.16363636363636,-37.18,seca_moderada
202411,2024,11,AL,Nordeste,Mata Atlântica,Maceió,30.1,6,29.57333333333333,23.936666666666667,30,54.25454545454545,-44.52,seca_moderada
202412,2024,12,AL,Nordeste,Mata Atlântica,Maceió,46.7,3,29.751612903225805,24.34193548387097,31,57.2,-18.36,normal
202501,2025,1,AL,Nordeste,Mata Atlântica,Maceió,73.6,1,30.258064516129032,24.4,31,67.04166666666667,9.78,normal
202502,2025,2,AL,Nordeste,Mata Atlântica,Maceió,77.8,1,29.603571428571428,24.335714285714285,28,66.83333333333333,16.41,normal
202503,2025,3,AL,Nordeste,Mata Atlântica,Maceió,55.6,2,30.061290322580643,24.72903225806452,31,122.56666666666666,-54.64,seca_moderada
202504,2025,4,AL,Nordeste,Mata Atlântica,Maceió,57.4,2,29.946666666666665,24.35,30,110.84166666666665,-48.21,seca_moderada
202505,2025,5,AL,Nordeste,Mata Atlântica,Maceió,285.0,0,28.406451612903226,23.60967741935484,31,211.17499999999998,34.96,normal
202506,2025,6,AL,Nordeste,Mata Atlântica,Maceió,317.4,0,26.63,22.75333333333333,30,185.45000000000002,71.15,chuva_intensa
202507,2025,7,AL,Nordeste,Mata Atlântica,Maceió,177.29999999999998,0,26.36774193548387,22.070967741935487,31,157.39090909090908,12.65,normal
202508,2025,8,AL,Nordeste,Mata Atlântica,Maceió,225.1,0,26.200000000000003,22.038709677419355,31,123.98181818181818,81.56,chuva_intensa
202509,2025,9,AL,Nordeste,Mata Atlântica,Maceió,118.2,0,26.683333333333334,22.78333333333333,30,79.89090909090909,47.95,normal
202510,2025,10,AL,Nordeste,Mata Atlântica,Maceió,69.6,2,27.33225806451613,23.200000000000003,31,53.16363636363636,30.92,normal
202511,2025,11,AL,Nordeste,Mata Atlântica,Maceió,19.9,3,28.89,23.626666666666665,30,54.25454545454545,-63.32,seca_severa
202512,2025,12,AL,Nordeste,Mata Atlântica,Maceió,33.1,5,29.503225806451614,24.041935483870965,31,57.2,-42.13,seca_moderada
202601,2026,1,AL,Nordeste,Mata Atlântica,Maceió,51.7,3,29.44193548387097,24.429032258064517,31,67.04166666666667,-22.88,normal
202602,2026,2,AL,Nordeste,Mata Atlântica,Maceió,63.0,2,29.678571428571427,24.210714285714285,28,66.83333333333333,-5.74,normal
202603,2026,3,AL,Nordeste,Mata Atlântica,Maceió,122.8,1,29.8,24.34193548387097,31,122.56666666666666,0.19,normal
202604,2026,4,AL,Nordeste,Mata Atlântica,Maceió,190.2,0,28.68,24.01,30,110.84166666666665,71.6,chuva_intensa
202605,2026,5,AL,Nordeste,Mata Atlântica,Maceió,230.0,0,28.23225806451613,23.83225806451613,31,211.17499999999998,8.91,normal
202606,2026,6,AL,Nordeste,Mata Atlântica,Maceió,13.0,0,27.925,23.95,4,185.45000000000002,-92.99,seca_severa
201501,2015,1,BA,Nordeste,Caatinga,Salvador,35.8,6,27.41935483870968,24.316129032258065,31,78.45833333333333,-54.37,seca_moderada
201502,2015,2,BA,Nordeste,Caatinga,Salvador,81.6,3,27.79642857142857,24.682142857142857,28,67.89166666666667,20.19,normal
201503,2015,3,BA,Nordeste,Caatinga,Salvador,56.2,6,27.97741935483871,24.793548387096774,31,108.925,-48.4,seca_moderada
201504,2015,4,BA,Nordeste,Caatinga,Salvador,202.8,4,27.46333333333333,24.3,30,166.79166666666666,21.59,normal
201505,2015,5,BA,Nordeste,Caatinga,Salvador,384.0,2,26.003225806451614,23.193548387096776,31,203.24166666666667,88.94,chuva_intensa
201506,2015,6,BA,Nordeste,Caatinga,Salvador,236.7,1,24.816666666666663,22.456666666666667,30,131.14166666666668,80.49,chuva_intensa
201507,2015,7,BA,Nordeste,Caatinga,Salvador,137.8,1,24.932258064516127,22.096774193548388,31,106.78181818181817,29.05,normal
201508,2015,8,BA,Nordeste,Caatinga,Salvador,80.2,4,24.5258064516129,21.906451612903226,31,86.45454545454545,-7.23,normal
201509,2015,9,BA,Nordeste,Caatinga,Salvador,26.7,12,26.37333333333333,22.76333333333333,30,59.1,-54.82,seca_moderada
201510,2015,10,BA,Nordeste,Caatinga,Salvador,22.9,13,27.34193548387097,23.68387096774193,31,58.400000000000006,-60.79,seca_severa
201511,2015,11,BA,Nordeste,Caatinga,Salvador,6.4,22,29.290000000000003,24.596666666666668,30,117.47272727272728,-94.55,seca_severa
201512,2015,12,BA,Nordeste,Caatinga,Salvador,11.5,17,29.116129032258065,24.861290322580647,31,63.08181818181818,-81.77,seca_severa
201601,2016,1,BA,Nordeste,Caatinga,Salvador,156.7,9,28.32903225806452,24.916129032258063,31,78.45833333333333,99.72,chuva_intensa
201602,2016,2,BA,Nordeste,Caatinga,Salvador,23.1,10,28.56551724137931,25.16896551724138,29,67.89166666666667,-65.98,seca_severa
201603,2016,3,BA,Nordeste,Caatinga,Salvador,45.6,2,28.51290322580645,25.36774193548387,31,108.925,-58.14,seca_moderada
