periodo,ano,mes,estado,cidade,precipitacao_total_mm,precip_max_dia_mm,dias_com_chuva,dias_extremo_leve,dias_extremo_moderado,dias_extremo_severo,dias_consecutivos_max,indice_enchente,risco_enchente
201509,2015,9,RS,Santa Maria,157.9,35.7,11,1,0,0,9,27.5,CRITICO
201510,2015,10,RS,Caxias do Sul,276.0,68.2,18,2,2,0,5,42.5,CRITICO
201510,2015,10,RS,Lajeado,234.2,68.7,17,2,2,0,7,47.5,CRITICO
201510,2015,10,RS,Porto Alegre,218.5,62.7,14,2,1,0,5,32.5,CRITICO
201510,2015,10,RS,Santa Maria,219.7,58.0,16,1,1,0,7,32.5,CRITICO
201511,2015,11,RS,Caxias do Sul,159.6,22.1,18,0,0,0,8,20.0,CRITICO
201511,2015,11,RS,Lajeado,164.6,28.4,18,0,0,0,5,12.5,ALTO
201511,2015,11,RS,Porto Alegre,137.7,29.2,12,0,0,0,4,10.0,ALTO
201511,2015,11,RS,Santa Maria,248.9,66.7,13,3,2,0,4,45.0,CRITICO
201512,2015,12,RS,Caxias do Sul,333.9,60.4,22,3,2,0,5,47.5,CRITICO
201512,2015,12,RS,Lajeado,312.5,52.9,20,4,1,0,5,42.5,CRITICO
201512,2015,12,RS,Porto Alegre,295.5,46.3,16,3,0,0,4,25.0,CRITICO
201512,2015,12,RS,Santa Maria,259.7,44.5,18,3,0,0,4,25.0,CRITICO
201601,2016,1,RS,Caxias do Sul,150.8,76.7,11,1,1,0,4,25.0,CRITICO
201601,2016,1,RS,Lajeado,91.6,26.2,9,0,0,0,3,7.5,MODERADO
201601,2016,1,RS,Porto Alegre,70.4,31.6,7,1,0,0,2,10.0,ALTO
201601,2016,1,RS,Santa Maria,64.1,22.8,8,0,0,0,3,7.5,MODERADO
201602,2016,2,RS,Caxias do Sul,114.8,27.7,18,0,0,0,7,17.5,ALTO
201602,2016,2,RS,Lajeado,101.5,15.3,15,0,0,0,5,12.5,ALTO
201602,2016,2,RS,Porto Alegre,73.3,19.4,11,0,0,0,2,5.0,MODERADO
201602,2016,2,RS,Santa Maria,116.8,36.5,11,1,0,0,3,12.5,ALTO
201603,2016,3,RS,Caxias do Sul,323.7,74.0,14,4,3,0,4,60.0,CRITICO
201603,2016,3,RS,Lajeado,318.6,97.4,12,5,1,1,4,65.0,CRITICO
201603,2016,3,RS,Porto Alegre,274.3,60.8,13,5,1,0,4,45.0,CRITICO
201603,2016,3,RS,Santa Maria,270.1,73.1,10,4,2,0,3,47.5,CRITICO
201604,2016,4,RS,Caxias do Sul,173.6,36.4,11,2,0,0,7,27.5,CRITICO
201604,2016,4,RS,Lajeado,158.3,36.9,12,1,0,0,6,20.0,CRITICO
